number	value	params_L_box	params_N_molecules	params_m0	params_mutation_prob	params_survival_rate
0	-172.8650000	2.0000000	1000	0.5000000	0.0100000	0.9500000
1	-170.3280000	1.7785127	968	0.5831107	0.0495801	0.8617669
2	-171.9010000	1.9348597	949	0.7803828	0.0625737	0.8158688
3	-170.8120000	1.8190588	788	0.7818367	0.0061806	0.9020865
4	-173.4250000	2.1593377	1176	0.7450478	0.0883929	0.8909131
5	-172.9530000	2.3042405	849	0.7375306	0.0891534	0.8339479
6	-173.6180000	2.1533483	1361	0.6853196	0.0865216	0.9231319
7	-172.9890000	1.9239162	597	0.6708932	0.0812675	0.8677273
8	-172.8310000	1.5345262	1448	0.4221491	0.0493579	0.8140700
9	-173.4710000	1.5613396	1002	0.4421951	0.0883722	0.8696656
10	-172.9020000	2.4608353	1429	0.6017380	0.0687339	0.9848269
