number	value	params_L_box	params_N_molecules	params_m0	params_mutation_prob	params_survival_rate
0	8242.7500000	0.5000000	10	0.0200000	0.0100000	0.8000000
1	6185.7500000	0.4035463	4	0.0519450	0.0549264	0.9693214
2	6782.6666667	0.4083222	26	0.1791437	0.0188804	0.9678724
3	1000000.0000000	1.1849072	807	0.3481943	0.0638838	0.9405370
4	808107.0000000	0.5160263	820	0.3420604	0.2265916	0.8953575
5	1000000.0000000	1.5497364	541	0.3078713	0.0476325	0.2996915
6	1277695.7500000	0.2252322	842	0.5548618	0.2191853	0.5498689
7	1000000.0000000	1.0247901	685	0.3900051	0.0975902	0.8471069
8	1000000.0000000	1.1155017	492	0.2786146	0.2243567	0.4154639
9	138745.0000000	0.4335220	611	0.5428997	0.0403358	0.3706087
10	1000000.0000000	2.2115779	300	0.0119201	0.1360496	0.7117183
11	1000000.0000000	0.7393497	46	0.1323932	0.0094367	0.9669859
12	102810.5000000	0.2236944	200	0.1438573	0.0938604	0.7449658
13	33084.0000000	0.7615992	214	0.1483587	0.0203565	0.6985907
14	101165.6666667	0.8125059	360	0.0931173	0.0628374	0.8567924
15	1000000.0000000	1.4850404	101	0.2101738	0.0020253	0.9586375
16	54633.8000000	0.2512210	134	0.0800486	0.0371386	0.6025477
17	104113.0000000	0.6243719	393	0.2227787	0.0798298	0.8192911
18	1000000.0000000	0.9153922	229	0.0603149	0.1218382	0.9003840
19	5774.0000000	0.4687135	19	0.1900296	0.0345974	0.8057661
20	439648.5000000	0.6614304	997	0.1064937	0.0395200	0.8038126
21	21204.0000000	0.4314696	127	0.1902286	0.0254617	0.8979564
22	1000000.0000000	0.4015971	23	0.1908473	0.0607272	0.9421347
23	22029.0000000	0.6370931	100	0.0595566	0.0260229	0.8748132
